Icon_code;estado_cielo;cod_sol
11;Despejado ;5
12;Poco nuboso ;4
13;Intervalos nubosos ;4
14;Nuboso ;2
15;Muy nuboso ;0
16;Cubierto ;1
17;Nubes altas ;3
23;Intervalos nubosos con lluvia ;2
24;Nuboso con lluvia ;1
25;Muy nuboso con lluvia ;0
26;Cubierto con lluvia ;1
33;Intervalos nubosos con nieve ;2
34;Nuboso con nieve ;1
35;Muy nuboso con nieve ;0
36;Cubierto con nieve ;1
43;Intervalos nubosos con lluvia escasa ;2
44;Nuboso con lluvia escasa ;1
45;Muy nuboso con lluvia escasa ;0
46;Cubierto con lluvia escasa ;1
54;Cubierto con tormenta ;0
61;Intervalos nubosos con tormenta y lluvia escasa ;2
51;Intervalos Nubosos con Tormenta;2
54;Cubierto con tormenta ;2
61;Intervalos nubosos con tormenta y lluvia escasa ;2
62;Nuboso con tormenta y lluvia escasa ;1
63;Muy nuboso con tormenta y lluvia escasa ;0
64;Cubierto con tormenta y lluvia escasa ;1
71;Intervalos nubosos con nieve escasa ;2
72;Nuboso con nieve escasa ;1
73;Muy nuboso con nieve escasa ;0
74;Cubierto con nieve escasa ;1
11n ;Despejado ;0
12n ;Poco nuboso ;0
13n ;Intervalos nubosos ;0
14n ;Nuboso  ;0
15n ;Muy nuboso  ;0
16n ;Cubierto ;0
17n ;Nubes altas  ;0
23n ;Intervalos nubosos con lluvia ;0
24n ;Nuboso con lluvia  ;0
25n ;Muy nuboso con lluvia  ;0
26n ;Cubierto con lluvia  ;0
33n ;Intervalos nubosos con nieve  ;0
34n ;Nuboso con nieve  ;0
35n ;Muy nuboso con nieve  ;0
36n ;Cubierto con nieve ;0
43n ;Intervalos nubosos con lluvia escasa  ;0
44n ;Nuboso con lluvia escasa ;0
45n ;Muy nuboso con lluvia escasa  ;0
46n ;Cubierto con lluvia escasa  ;0
51n;Intervalos nubosos con tormenta;0
52n;Nuboso con tormenta;0
53n;Muy nuboso con tormenta;0
54n ;Cubierto con tormenta  ;0
61n ;Intervalos nubosos con tormenta y lluvia escasa ;0
62n ;Nuboso con tormenta y lluvia escasa  ;0
63n ;Muy nuboso con tormenta y lluvia escasa ;0
64n ;Cubierto con tormenta y lluvia escasa ;0
71n ;Intervalos nubosos con nieve escasa ;0
72n ;Nuboso con nieve escasa ;0
73n ;Muy nuboso con nieve escasa ;0
74n ;Cubierto con nieve escasa ;0
