,"Icon_code,estado_cielo,cod_sol"
0,"11,Despejado ,5"
1,"12,Poco nuboso ,4"
2,"13,Intervalos nubosos ,4"
3,"14,Nuboso ,2"
4,"15,Muy nuboso ,0"
5,"16,Cubierto ,1"
6,"17,Nubes altas ,3"
7,"23,Intervalos nubosos con lluvia ,2"
8,"24,Nuboso con lluvia ,1"
9,"25,Muy nuboso con lluvia ,0"
10,"26,Cubierto con lluvia ,1"
11,"33,Intervalos nubosos con nieve ,2"
12,"34,Nuboso con nieve ,1"
13,"35,Muy nuboso con nieve ,0"
14,"36,Cubierto con nieve ,1"
15,"43,Intervalos nubosos con lluvia escasa ,2"
16,"44,Nuboso con lluvia escasa ,1"
17,"45,Muy nuboso con lluvia escasa ,0"
18,"46,Cubierto con lluvia escasa ,1"
19,"54,Cubierto con tormenta ,0"
20,"61,Intervalos nubosos con tormenta y lluvia escasa ,2"
21,"51,Intervalos Nubosos con Tormenta,2"
22,"54,Cubierto con tormenta ,2"
23,"61,Intervalos nubosos con tormenta y lluvia escasa ,2"
24,"62,Nuboso con tormenta y lluvia escasa ,1"
25,"63,Muy nuboso con tormenta y lluvia escasa ,0"
26,"64,Cubierto con tormenta y lluvia escasa ,1"
27,"71,Intervalos nubosos con nieve escasa ,2"
28,"72,Nuboso con nieve escasa ,1"
29,"73,Muy nuboso con nieve escasa ,0"
30,"74,Cubierto con nieve escasa ,1"
31,"11n ,Despejado ,0"
32,"12n ,Poco nuboso ,0"
33,"13n ,Intervalos nubosos ,0"
34,"14n ,Nuboso  ,0"
35,"15n ,Muy nuboso  ,0"
36,"16n ,Cubierto ,0"
37,"17n ,Nubes altas  ,0"
38,"23n ,Intervalos nubosos con lluvia ,0"
39,"24n ,Nuboso con lluvia  ,0"
40,"25n ,Muy nuboso con lluvia  ,0"
41,"26n ,Cubierto con lluvia  ,0"
42,"33n ,Intervalos nubosos con nieve  ,0"
43,"34n ,Nuboso con nieve  ,0"
44,"35n ,Muy nuboso con nieve  ,0"
45,"36n ,Cubierto con nieve ,0"
46,"43n ,Intervalos nubosos con lluvia escasa  ,0"
47,"44n ,Nuboso con lluvia escasa ,0"
48,"45n ,Muy nuboso con lluvia escasa  ,0"
49,"46n ,Cubierto con lluvia escasa  ,0"
50,"51n,Intervalos nubosos con tormenta,0"
51,"52n,Nuboso con tormenta,0"
52,"53n,Muy nuboso con tormenta,0"
53,"54n ,Cubierto con tormenta  ,0"
54,"61n ,Intervalos nubosos con tormenta y lluvia escasa ,0"
55,"62n ,Nuboso con tormenta y lluvia escasa  ,0"
56,"63n ,Muy nuboso con tormenta y lluvia escasa ,0"
57,"64n ,Cubierto con tormenta y lluvia escasa ,0"
58,"71n ,Intervalos nubosos con nieve escasa ,0"
59,"72n ,Nuboso con nieve escasa ,0"
60,"73n ,Muy nuboso con nieve escasa ,0"
61,"74n ,Cubierto con nieve escasa ,0"
